"model","mean_AU1U","mean_kappa","mean_N_IM_sensitivity","mean_N_OM_sensitivity","mean_N_TM_sensitivity","mean_N_S_sensitivity","mean_N_TL_SEC_sensitivity","mean_N_TL_TAT_sensitivity","mean_P_IM_sensitivity","mean_P_TM_sensitivity","mean_P_S_sensitivity"
"Architecture_v1_0-1_Filtering_0.5",0.878090179849116,0.769640366407284,0.426666666666667,0.203333333333333,0.738735177865613,0.902941176470588,0.67,0.619642857142857,0.983974358974359,0.991909257802255,0.959349593495935
"Architecture_v1_0-1_No_filtering",0.890270117159459,0.889474257823583,0.443333333333333,0.396666666666667,0.760671936758893,0.905882352941176,0.67,0.821428571428571,0.991666666666667,0.992715709415159,0.968931475029036
"Architecture_v1_1-1_Filtering_0.5",0.877440053487731,0.774041829662825,0.51,0.253333333333333,0.738735177865613,0.905882352941177,0.67,0.632142857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v1_1-1_No_filtering",0.888019908402033,0.893377612737074,0.51,0.483333333333333,0.751383399209486,0.908823529411765,0.67,0.833928571428571,0.976282051282051,0.992715709415159,0.968931475029036
"Architecture_v1-Sec_0-1_Filtering_0.5",0.87981601020192,0.0915553135417315,0.426666666666667,0.203333333333333,0.738735177865613,0.908823529411765,0,0.632142857142857,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v1-Sec_0-1_No_filtering",0.89781927262167,0.45135886529251,0.443333333333333,0.38,0.769762845849802,0.9,0.045,0.846428571428571,0.991666666666667,0.992715709415159,0.966550522648084
"Architecture_v1-Sec_1-1_Filtering_0.5",0.879032288641824,0.00960147008407298,0.51,0.253333333333333,0.738735177865613,0.905882352941177,0,0.644642857142857,0.983974358974359,0.991909257802255,0.959349593495935
"Architecture_v1-Sec_1-1_No_filtering",0.893351888193272,0.625064377236495,0.51,0.466666666666667,0.760474308300395,0.894117647058823,0.135,0.846428571428571,0.976282051282051,0.992715709415159,0.968931475029036
"Architecture_v1-Tat_0-1_Filtering_0.5",0.873937122560891,0.344787282000856,0.426666666666667,0.203333333333333,0.738735177865613,0.908823529411765,0.695,0,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v1-Tat_0-1_No_filtering",0.887797444496397,0.0374919916492106,0.443333333333333,0.396666666666667,0.765217391304348,0.908823529411765,0.695,0,0.991666666666667,0.993522161028062,0.968931475029036
"Architecture_v1-Tat_1-1_Filtering_0.5",0.872152907572537,0.267984801959581,0.51,0.253333333333333,0.738735177865613,0.908823529411765,0.695,0.025,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v1-Tat_1-1_No_filtering",0.88358510148449,0.289017474000161,0.51,0.483333333333333,0.755928853754941,0.914705882352941,0.695,0.025,0.976282051282051,0.992715709415159,0.968931475029036
"Architecture_v2_0-1_Filtering_0.5",0.872431365460867,0.77808159964333,0.426666666666667,0.203333333333333,0.765612648221344,0.9,0.65,0.669642857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v2_0-1_No_filtering",0.88619558084065,0.888452242901939,0.426666666666667,0.433333333333333,0.778853754940712,0.888235294117647,0.65,0.821428571428571,0.991666666666667,0.993522161028062,0.966492450638792
"Architecture_v2_1-1_Filtering_0.5",0.872078621566565,0.780856014924096,0.51,0.236666666666667,0.756521739130435,0.897058823529412,0.65,0.696428571428571,0.983974358974359,0.992715709415159,0.971312427409988
"Architecture_v2_1-1_No_filtering",0.88543768718812,0.889175399236932,0.51,0.466666666666667,0.765217391304348,0.885294117647059,0.63,0.821428571428571,0.976282051282051,0.993522161028062,0.968873403019744
"Architecture_v2-Sec_0-1_Filtering_0.5",0.873342261033441,0.778052336083115,0.426666666666667,0.203333333333333,0.765612648221344,0.9,0.63,0.682142857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v2-Sec_0-1_No_filtering",0.886938193579719,0.89062307653556,0.443333333333333,0.433333333333333,0.783399209486166,0.891176470588235,0.635,0.846428571428571,0.991666666666667,0.993522161028062,0.966492450638792
"Architecture_v2-Sec_1-1_Filtering_0.5",0.872082145497988,0.780770977970629,0.51,0.236666666666667,0.756719367588933,0.897058823529412,0.63,0.694642857142857,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v2-Sec_1-1_No_filtering",0.885372276311172,0.890802535468431,0.51,0.466666666666667,0.765217391304348,0.888235294117647,0.655,0.833928571428571,0.976282051282051,0.993522161028062,0.968873403019744
"Architecture_v2-Tat_0-1_Filtering_0.5",0.87141751706872,0.774313522351756,0.426666666666667,0.203333333333333,0.765612648221344,0.897058823529412,0.675,0.605357142857143,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v2-Tat_0-1_No_filtering",0.882779976180743,0.877537946933768,0.443333333333333,0.433333333333333,0.774308300395257,0.879411764705882,0.695,0.578571428571429,0.991666666666667,0.993522161028062,0.966492450638792
"Architecture_v2-Tat_1-1_Filtering_0.5",0.867831316943995,0.776493551073535,0.51,0.236666666666667,0.756521739130435,0.891176470588235,0.675,0.605357142857143,0.983974358974359,0.993522161028062,0.971312427409988
"Architecture_v2-Tat_1-1_No_filtering",0.879105288539189,0.87830932956096,0.51,0.45,0.74703557312253,0.879411764705882,0.695,0.619642857142857,0.976282051282051,0.993522161028062,0.968873403019744
"Architecture_v3_0-1_Filtering_0.5",0.876481374745344,0.874714743799716,0.443333333333333,0.416666666666667,0.743280632411067,0.902941176470588,0.67,0.607142857142857,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v3_0-1_No_filtering",0.886671401316788,0.894099201180866,0.443333333333333,0.49,0.769565217391304,0.911764705882353,0.67,0.821428571428571,0.991666666666667,0.99110936270653,0.971312427409988
"Architecture_v3_1-1_Filtering_0.5",0.87626505313825,0.78387282451949,0.51,0.433333333333333,0.743083003952569,0.902941176470588,0.67,0.607142857142857,0.983974358974359,0.991909257802256,0.961730545876887
"Architecture_v3_1-1_No_filtering",0.888514408281802,0.893976241785527,0.51,0.523333333333333,0.760474308300395,0.908823529411765,0.67,0.833928571428571,0.976282051282051,0.991102806189352,0.966550522648084
"Architecture_v3_1-2_Filtering_0.5",0.87963944264501,0.870879991570418,0.426666666666667,0.276666666666667,0.752173913043478,0.902941176470588,0.67,0.607142857142857,0.983974358974359,0.990289798059271,0.964169570267131
"Architecture_v3_1-2_No_filtering",0.887771296328894,0.893484889870683,0.443333333333333,0.47,0.774110671936759,0.902941176470588,0.67,0.821428571428571,0.991666666666667,0.992722265932337,0.971312427409988
"Architecture_v3_2-1_Filtering_0.5",0.878259020095412,0.875265869401793,0.51,0.343333333333333,0.743083003952569,0.902941176470588,0.67,0.619642857142857,0.983974358974359,0.990289798059271,0.964169570267131
"Architecture_v3_2-1_No_filtering",0.889201366924619,0.893400617509556,0.51,0.466666666666667,0.760276679841897,0.911764705882353,0.67,0.833928571428571,0.983974358974359,0.991096249672174,0.966550522648084
"Architecture_v3-Sec_0-1_Filtering_0.5",0.880412854254848,0.11010576628016,0.443333333333333,0.416666666666667,0.747628458498024,0.905882352941177,0,0.619642857142857,0.983974358974359,0.991909257802256,0.961730545876887
"Architecture_v3-Sec_0-1_No_filtering",0.894913029599626,0.541484641560395,0.443333333333333,0.49,0.778656126482213,0.9,0.045,0.846428571428571,0.991666666666667,0.990296354576449,0.971312427409988
"Architecture_v3-Sec_1-1_Filtering_0.5",0.879571292314413,0.0124745210372967,0.51,0.433333333333333,0.743083003952569,0.905882352941177,0,0.632142857142857,0.983974358974359,0.991102806189352,0.961730545876887
"Architecture_v3-Sec_1-1_No_filtering",0.893234690130015,0.624042046908981,0.51,0.506666666666667,0.76501976284585,0.891176470588235,0.16,0.846428571428571,0.976282051282051,0.991102806189352,0.966550522648084
"Architecture_v3-Sec_1-2_Filtering_0.5",0.881380523483358,0.104519568856064,0.426666666666667,0.276666666666667,0.752173913043478,0.905882352941177,0,0.619642857142857,0.983974358974359,0.990289798059271,0.964169570267131
"Architecture_v3-Sec_1-2_No_filtering",0.89656304868305,0.455605859951193,0.443333333333333,0.47,0.778656126482213,0.902941176470588,0.045,0.846428571428571,0.991666666666667,0.992722265932337,0.971312427409988
"Architecture_v3-Sec_2-1_Filtering_0.5",0.879560399788817,0.0246336523412609,0.51,0.343333333333333,0.738537549407115,0.908823529411765,0,0.644642857142857,0.983974358974359,0.990289798059271,0.964169570267131
"Architecture_v3-Sec_2-1_No_filtering",0.895765594050274,0.70923872412952,0.51,0.466666666666667,0.764822134387352,0.894117647058823,0.11,0.846428571428571,0.976282051282051,0.991096249672174,0.968931475029036
"Architecture_v3-Tat_0-1_Filtering_0.5",0.872672679184502,0.690660230408618,0.443333333333333,0.416666666666667,0.752173913043478,0.908823529411765,0.695,0.05,0.983974358974359,0.991102806189352,0.964169570267131
"Architecture_v3-Tat_0-1_No_filtering",0.884882840479919,0.121450843935468,0.443333333333333,0.486666666666667,0.769565217391304,0.905882352941176,0.695,0.0125,0.991666666666667,0.990296354576449,0.971312427409988
"Architecture_v3-Tat_1-1_Filtering_0.5",0.869682706265819,0.602690001888476,0.51,0.433333333333333,0.743083003952569,0.908823529411765,0.695,0.0642857142857143,0.983974358974359,0.991909257802256,0.964169570267131
"Architecture_v3-Tat_1-1_No_filtering",0.884347174563907,0.372315522661694,0.51,0.56,0.76501976284585,0.911764705882353,0.695,0.05,0.976282051282051,0.991102806189352,0.966550522648084
"Architecture_v3-Tat_1-2_Filtering_0.5",0.876068364101365,0.69409403671359,0.443333333333333,0.296666666666667,0.747628458498024,0.911764705882353,0.695,0.228571428571429,0.983974358974359,0.990289798059271,0.964169570267131
"Architecture_v3-Tat_1-2_No_filtering",0.887202170472797,0.121831649548441,0.443333333333333,0.47,0.778656126482213,0.905882352941177,0.695,0.0125,0.991666666666667,0.992722265932337,0.971312427409988
"Architecture_v3-Tat_2-1_Filtering_0.5",0.871297859965746,0.696398416726762,0.51,0.343333333333333,0.738537549407115,0.902941176470588,0.695,0.228571428571429,0.983974358974359,0.990289798059271,0.964169570267131
"Architecture_v3-Tat_2-1_No_filtering",0.885905626830764,0.288057758633353,0.51,0.486666666666667,0.764822134387352,0.911764705882353,0.695,0.0375,0.976282051282051,0.991096249672174,0.968931475029036
"Architecture_v4_0-1_Filtering_0.5",0.882358260925161,0.771848479674608,0.443333333333333,0.236666666666667,0.743083003952569,0.902941176470588,0.67,0.632142857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4_0-1_No_filtering",0.895962653384962,0.891233923842187,0.543333333333333,0.516666666666667,0.756324110671937,0.885294117647059,0.67,0.846428571428571,0.983974358974359,0.991102806189352,0.966608594657375
"Architecture_v4_1-1_Filtering_0.5",0.881211692079882,0.770222331846104,0.443333333333333,0.22,0.734189723320158,0.902941176470588,0.67,0.632142857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4_1-1_No_filtering",0.898867882790315,0.89008443205272,0.51,0.466666666666667,0.760671936758893,0.897058823529412,0.67,0.833928571428571,0.983974358974359,0.991102806189352,0.964169570267131
"Architecture_v4_1-2_Filtering_0.5",0.882664635236318,0.771288530574214,0.46,0.216666666666667,0.738537549407114,0.902941176470588,0.67,0.632142857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4_1-2_No_filtering",0.896109520364556,0.895151830719356,0.543333333333333,0.516666666666667,0.769565217391304,0.894117647058823,0.67,0.833928571428571,0.983974358974359,0.989489902963546,0.976132404181185
"Architecture_v4_1-3_Filtering_0.5",0.881868663516773,0.772391135669418,0.443333333333333,0.236666666666667,0.743083003952569,0.905882352941177,0.67,0.632142857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4_1-3_No_filtering",0.895113233233376,0.890683397295405,0.56,0.446666666666667,0.756324110671937,0.885294117647059,0.67,0.846428571428571,0.983974358974359,0.991909257802255,0.968989547038328
"Architecture_v4_2-1_Filtering_0.5",0.881558779149684,0.771838580834167,0.443333333333333,0.216666666666667,0.738735177865613,0.908823529411765,0.67,0.632142857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4_2-1_No_filtering",0.891750752132066,0.896624319243681,0.543333333333333,0.503333333333333,0.765217391304348,0.911764705882353,0.67,0.833928571428571,0.983974358974359,0.991102806189352,0.968931475029036
"Architecture_v4_2-2_Filtering_0.5",0.881543336208409,0.771807003353049,0.443333333333333,0.22,0.743280632411067,0.902941176470588,0.67,0.632142857142857,0.983974358974359,0.991909257802255,0.959349593495935
"Architecture_v4_2-2_No_filtering",0.896945236935978,0.891733020827439,0.543333333333333,0.466666666666667,0.756126482213439,0.9,0.67,0.833928571428571,0.983974358974359,0.991909257802255,0.964169570267131
"Architecture_v4_2-3_Filtering_0.5",0.882390980646109,0.772927762384568,0.476666666666667,0.216666666666667,0.747628458498024,0.902941176470588,0.67,0.632142857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4_2-3_No_filtering",0.892661770996006,0.89244817157126,0.56,0.483333333333333,0.7699604743083,0.882352941176471,0.67,0.833928571428571,0.983974358974359,0.990296354576449,0.973751451800232
"Architecture_v4_3-1_Filtering_0.5",0.881947165509891,0.774560188403744,0.493333333333333,0.216666666666667,0.747826086956522,0.908823529411765,0.67,0.632142857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4_3-1_No_filtering",0.891040871737362,0.893909517106339,0.56,0.446666666666667,0.760869565217391,0.905882352941177,0.67,0.821428571428571,0.983974358974359,0.991909257802255,0.968931475029036
"Architecture_v4-Sec_0-1_Filtering_0.5",0.885143797167112,0.00974382992376766,0.443333333333333,0.22,0.743083003952569,0.908823529411765,0,0.644642857142857,0.983974358974359,0.991102806189352,0.959349593495935
"Architecture_v4-Sec_0-1_No_filtering",0.903630569904395,0.448873692285081,0.543333333333333,0.5,0.756324110671937,0.879411764705882,0.11,0.846428571428571,0.983974358974359,0.991102806189352,0.968989547038328
"Architecture_v4-Sec_1-1_Filtering_0.5",0.883633257685151,0.00934613118708314,0.443333333333333,0.22,0.734189723320158,0.908823529411765,0,0.644642857142857,0.983974358974359,0.991102806189352,0.961730545876887
